lambdamic,ePphoton
6.15115,7.1E-5
6.15846,1.24E-4
6.16578,1.88E-4
6.17312,2.06E-4
6.18048,1.8E-4
6.18786,1.47E-4
6.19525,9.6E-5
6.20266,5.0E-5
6.21009,8.3E-5
6.21753,1.23E-4
6.225,1.47E-4
6.23248,1.98E-4
6.23998,2.28E-4
6.2475,2.31E-4
6.25503,2.32E-4
6.26259,2.87E-4
6.27016,4.71E-4
6.27775,7.68E-4
6.28536,0.001189
6.29299,0.002016
6.30064,0.003362
6.3083,0.005239
6.31598,0.007906
6.32369,0.01174
6.33141,0.01626
6.33915,0.02164
6.34691,0.02857
6.35469,0.03616
6.36248,0.04395
6.3703,0.05329
6.37813,0.06244
6.38599,0.07309
6.39386,0.08594
6.40176,0.1004
6.40967,0.1129
6.4176,0.1255
6.42556,0.1378
6.43353,0.1485
6.44152,0.1589
6.44953,0.1671
6.45756,0.174
6.46561,0.1793
6.47369,0.1848
6.48178,0.1898
6.48989,0.1971
6.49802,0.2049
6.50618,0.2117
6.51435,0.217
6.52254,0.2199
6.53076,0.2215
6.539,0.224
6.54725,0.2272
6.55553,0.2295
6.56383,0.2313
6.57215,0.2326
6.58049,0.2328
6.58885,0.2329
6.59723,0.2335
6.60563,0.2331
6.61406,0.2325
6.62251,0.2301
6.63098,0.228
6.63947,0.2261
6.64798,0.2237
6.65651,0.2226
6.66507,0.2216
6.67365,0.222
6.68225,0.2236
6.69087,0.2262
6.69951,0.2286
6.70818,0.231
6.71687,0.233
6.72558,0.2347
6.73432,0.236
6.74307,0.2372
6.75185,0.2378
6.76066,0.2393
6.76948,0.2406
6.77833,0.2418
6.7872,0.2429
6.7961,0.244
6.80502,0.2448
6.81396,0.2461
6.82293,0.2471
6.83191,0.2481
6.84093,0.2485
6.84996,0.2491
6.85903,0.2494
6.86811,0.2492
6.87722,0.2488
6.88635,0.2483
6.89551,0.2477
6.90469,0.2473
6.9139,0.2476
6.92313,0.2485
6.93238,0.2492
6.94166,0.2491
6.95097,0.2488
6.9603,0.2479
6.96965,0.2469
6.97904,0.245
6.98844,0.2434
6.99787,0.2424
7.00733,0.2418
7.01681,0.2418
7.02632,0.2414
7.03585,0.241
7.04541,0.2409
7.055,0.2403
7.06461,0.2396
7.07425,0.2392
7.08391,0.2396
7.0936,0.2403
7.10332,0.2411
7.11306,0.2418
7.12283,0.2422
7.13263,0.2421
7.14246,0.2417
7.15231,0.2413
7.16219,0.2407
7.17209,0.2408
7.18203,0.2418
7.19199,0.2433
7.20198,0.2447
7.21199,0.246
7.22204,0.2477
7.23211,0.2493
7.24221,0.2497
7.25234,0.2494
7.2625,0.2483
7.27268,0.2462
7.2829,0.2438
7.29314,0.2427
7.30341,0.242
7.31371,0.2428
7.32404,0.2442
7.3344,0.2468
7.34479,0.2495
7.35521,0.2526
7.36566,0.2543
7.37614,0.2556
7.38664,0.2563
7.39718,0.2556
7.40775,0.2547
7.41835,0.2537
7.42897,0.253
7.43963,0.2539
7.45032,0.2559
7.46104,0.2591
7.47179,0.2629
7.48257,0.2665
7.49339,0.27
7.50423,0.2728
7.51511,0.2755
7.52601,0.2778
7.53695,0.2796
7.54792,0.2809
7.55893,0.2822
7.56996,0.283
7.58103,0.2831
7.59213,0.2826
7.60326,0.2816
7.61442,0.2813
7.62562,0.2814
7.63685,0.2821
7.64812,0.2837
7.65941,0.2857
7.67074,0.2872
7.68211,0.2881
7.69351,0.2883
7.70494,0.2872
7.7164,0.2866
7.7279,0.2857
7.73944,0.2859
7.75101,0.2867
7.76261,0.2879
7.77425,0.2891
7.78592,0.2906
7.79763,0.2923
7.80937,0.2939
7.82115,0.2953
7.83297,0.2971
7.84482,0.299
7.8567,0.3007
7.86862,0.3016
7.88058,0.3022
7.89258,0.3014
7.90461,0.3002
7.91668,0.298
7.92878,0.2961
7.94092,0.2952
7.9531,0.2948
7.96532,0.2957
7.97757,0.2967
7.98987,0.2977
8.0022,0.299
8.01456,0.3002
8.02697,0.3013
8.03942,0.3024
8.0519,0.3032
8.06442,0.305
8.07698,0.3061
8.08958,0.308
8.10222,0.3089
8.1149,0.309
8.12762,0.3091
8.14038,0.3086
8.15318,0.3081
8.16602,0.3079
8.1789,0.3085
8.19182,0.3095
8.20478,0.3113
8.21779,0.3127
8.23083,0.3137
8.24392,0.3137
8.25704,0.3137
8.27021,0.3134
8.28342,0.3128
8.29668,0.3125
8.30997,0.3128
8.32331,0.3125
8.33669,0.3119
8.35012,0.3108
8.36359,0.3099
8.3771,0.3094
8.39065,0.3095
8.40425,0.3101
8.41789,0.3117
8.43158,0.313
8.44531,0.3136
8.45909,0.314
8.47291,0.3137
8.48678,0.3124
8.50069,0.3113
8.51465,0.3109
8.52866,0.3112
8.54271,0.3112
8.5568,0.3117
8.57095,0.3126
8.58514,0.3122
8.59938,0.3121
8.61366,0.3102
8.62799,0.3085
8.64237,0.306
8.6568,0.3026
8.67128,0.2981
8.6858,0.2943
8.70037,0.2909
8.715,0.2892
8.72967,0.2898
8.74439,0.2916
8.75916,0.2938
8.77398,0.2958
8.78885,0.2973
8.80377,0.2984
8.81875,0.2981
8.83377,0.2965
8.84885,0.2939
8.86397,0.2914
8.87915,0.2889
8.89438,0.2875
8.90966,0.2857
8.925,0.2841
8.94038,0.2827
8.95583,0.2806
8.97132,0.2781
8.98687,0.2756
9.00247,0.2737
9.01813,0.2713
9.03384,0.2686
9.0496,0.2659
9.06543,0.2641
9.0813,0.2616
9.09723,0.2578
9.11322,0.2536
9.12927,0.2497
9.14537,0.2429
9.16152,0.2345
9.17774,0.2242
9.19401,0.2141
9.21034,0.2015
9.22673,0.1898
9.24318,0.1774
9.25968,0.1653
9.27625,0.1534
9.29287,0.1437
9.30956,0.1334
9.3263,0.1235
9.3431,0.1132
9.35997,0.1022
9.3769,0.09073
9.39388,0.07915
9.41093,0.06783
9.42804,0.05607
9.44522,0.04578
9.46245,0.03604
9.47975,0.02739
9.49711,0.02015
9.51454,0.01445
9.53203,0.01021
9.54958,0.007234
9.5672,0.00491
9.58489,0.003291
9.60264,0.0023
9.62045,0.001616
9.63833,0.001144
9.65628,8.18E-4
9.6743,5.1E-4
9.69238,2.79E-4
9.71053,1.66E-4
9.72875,1.18E-4
9.74704,9.0E-5
9.76539,1.15E-4
9.78382,1.34E-4
9.80231,6.6E-5
9.82088,4.8E-5
9.83951,9.5E-5
9.85822,1.02E-4
9.877,1.64E-4
9.89585,2.99E-4
9.91477,3.34E-4
9.93376,3.25E-4
9.95283,3.2E-4
9.97197,2.76E-4
9.99118,2.91E-4
10.0105,2.74E-4
10.0298,1.61E-4
10.0493,1.57E-4
