#       s label      mu_y    beta_y   alpha_y   gamma_y    disp_y   disp_py      mu_z    beta_z   alpha_z   gamma_z    disp_z   disp_pz
10.499262 defoc  1.016760  0.065507  0.016336 15.797950  0.009307  0.069651  0.266312  0.621061 -2.249474  9.757718  0.000000  0.000000
10.877757 defoc  1.076334  0.065742 -0.077501 15.729995  0.009550  0.056823  0.272327  0.637033 -1.967532  7.646679  0.000000  0.000000
11.256252 defoc  1.135039  0.066696 -0.171166 15.767916  0.009745  0.044492  0.278204  0.650809 -1.669729  5.820443  0.000000  0.000000
11.634747 defoc  1.192240  0.068364 -0.265456 15.916158  0.009892  0.032590  0.283967  0.662278 -1.358379  4.296070  0.000000  0.000000
12.013242 defoc  1.247596  0.070755 -0.361307 16.164132  0.009995  0.021051  0.289642  0.671346 -1.035915  3.088000  0.000000  0.000000
12.391737 defoc  1.300649  0.073881 -0.459528 16.518661  0.010053  0.009811  0.295250  0.677940 -0.704871  2.207924  0.000000  0.000000
12.770232 defoc  1.351001  0.077756 -0.560912 16.989814  0.010070 -0.001186  0.300815  0.682003 -0.367857  1.664678  0.000000  0.000000
13.148727 defoc  1.398572  0.082412 -0.666407 17.572008  0.010045 -0.012008  0.306357  0.683501 -0.027539  1.464160  0.000000  0.000000
13.527222 defoc  1.443235  0.087883 -0.776875 18.269706  0.009979 -0.022703  0.311897  0.682418  0.313383  1.609282  0.000000  0.000000
13.905717 defoc  1.484959  0.094210 -0.893126 19.080870  0.009872 -0.033331  0.317457  0.678761  0.652201  2.099945  0.000000  0.000000
14.284212 defoc  1.523701  0.101435 -1.016465 20.037192  0.009726 -0.043951  0.323057  0.672556  0.986224  2.933035  0.000000  0.000000
14.662707 defoc  1.559608  0.109623 -1.147559 21.120520  0.009540 -0.054612  0.328719  0.663849  1.312792  4.102462  0.000000  0.000000
15.041202 defoc  1.592752  0.118834 -1.287812 22.357914  0.009313 -0.065370  0.334468  0.652706  1.629308  5.599211  0.000000  0.000000
15.419697 defoc  1.623314  0.129149 -1.438515 23.760193  0.009044 -0.076287  0.340325  0.639213  1.933258  7.411422  0.000000  0.000000
15.798192 defoc  1.651414  0.140648 -1.600555 25.324441  0.008735 -0.087419  0.346319  0.623475  2.222228  9.524506  0.000000  0.000000
16.176687 defoc  1.677221  0.153431 -1.775649 27.076524  0.008382 -0.098813  0.352477  0.605613  2.493929 11.921270  0.000000  0.000000
16.555182 defoc  1.700913  0.167609 -1.965361 29.032092 -150.896303 -1075.355984  0.358830  0.585766  2.746215 14.582078  0.000000  0.000000
16.933677 defoc  1.722625  0.183301 -2.171275 31.207072 -153.819778 -1234.580897  0.365412  0.564090  2.977101 17.485025  0.000000  0.000000
17.312172 defoc  1.742540  0.200654 -2.395534 33.627943 -157.346700 -1395.445321  0.372263  0.540752  3.184780 20.606142  0.000000  0.000000
17.690667 defoc  1.760755  0.219807 -2.639745 36.307794 -161.482914 -1558.257504  0.379426  0.515935  3.367638 23.919610  0.000000  0.000000
18.069162 defoc  1.777492  0.240951 -2.906569 39.279498 -166.235234 -1723.328912  0.386953  0.489833  3.524266 27.398000  0.000000  0.000000
18.103709 defoc  1.778919  0.242992 -2.932324 39.572034 -166.699936 -1738.518856  0.387660  0.487393  3.537213 27.722707  0.000000  0.000000
23.150090   foc  1.909103  0.644342 -4.947804 39.572034 30.378286 -1738.518856  0.549599  0.200989  2.138219 27.722707  0.000000  0.000000
23.444000   foc  1.913641  0.672909 -4.682006 34.085328 26.510469 -1664.098411  0.564684  0.188976  1.951580 25.445903  0.000000  0.000000
23.737910   foc  1.917987  0.699781 -4.385170 28.927541 22.862694 -1587.566188  0.580713  0.178021  1.777632 23.367819  0.000000  0.000000
24.031820   foc  1.922166  0.724784 -4.059371 24.131104 19.441150 -1509.047583  0.597711  0.168054  1.615253 21.475376  0.000000  0.000000
24.325730   foc  1.926211  0.747777 -3.706697 19.723519 16.251660 -1428.671369  0.615696  0.159011  1.463398 19.756658  0.000000  0.000000
24.619640   foc  1.930111  0.768552 -3.330192 15.741586 13.299664 -1346.569482  0.634681  0.150831  1.321087 18.200838  0.000000  0.000000
24.913550   foc  1.933922  0.787051 -2.931698 12.199050 10.590211 -1262.876808  0.654668  0.143463  1.187398 16.798107  0.000000  0.000000
25.207460   foc  1.937643  0.803124 -2.514181  9.121826  8.127945 -1177.730955  0.675650  0.136857  1.061467 15.539616  0.000000  0.000000
25.501370   foc  1.941294  0.816684 -2.080187  6.526812  5.917096 -1091.272024  0.697611  0.130970  0.942477 14.417419  0.000000  0.000000
25.795280   foc  1.944882  0.827630 -1.633008  4.432719  3.961469 -1003.642375  0.720520  0.125764  0.829655 13.424421  0.000000  0.000000
26.089190   foc  1.948416  0.835889 -1.175728  2.851889  2.264436 -914.986385  0.744334  0.121206  0.722268 12.554338  0.000000  0.000000
26.383100   foc  1.951926  0.841444 -0.710553  1.789019  0.828927 -825.450200  0.768996  0.117264  0.619614 11.801657  0.000000  0.000000
26.677010   foc  1.955415  0.844245 -0.241090  1.253303 -0.342574 -735.181489  0.794435  0.113913  0.521026 11.161599  0.000000  0.000000
26.970920   foc  1.958897  0.844278  0.230058  1.246029 -1.248041 -644.329188  0.820568  0.111132  0.425859 10.630095  0.000000  0.000000
27.264830   foc  1.962381  0.841543  0.699213  1.768027 -1.885904 -553.043243  0.847294  0.108901  0.333490 10.203756  0.000000  0.000000
27.558740   foc  1.965883  0.836065  1.164157  2.815238 -2.255057 -461.474352  0.874506  0.107207  0.243316  9.879855  0.000000  0.000000
27.852650   foc  1.969413  0.827875  1.620912  4.380168 -2.354859 -369.773705  0.902083  0.106038  0.154745  9.656311  0.000000  0.000000
28.146560   foc  1.972982  0.817026  2.067738  6.455280 -2.185138 -278.092718  0.929897  0.105386  0.067198  9.531671  0.000000  0.000000
28.440470   foc  1.976607  0.803589  2.500743  9.025485 -1.746188 -186.582775  0.957816  0.105247 -0.019899  9.505111  0.000000  0.000000
28.734380   foc  1.980297  0.787646  2.917941 12.078235 -1.038770 -95.394962  0.985703  0.105620 -0.107118  9.576419  0.000000  0.000000
29.028290   foc  1.984082  0.769356  3.315776 15.590153 -0.064111 -4.679806  1.013425  0.106507 -0.195028  9.746004  0.000000  0.000000
29.043730   foc  1.984277  0.768282  3.335935 15.786467 -0.005551  0.069881  1.014874  0.106568 -0.199677  9.757646  0.000000  0.000000
